experiment,repetition,round,training_loss,test_mse,test_mae,baseline_ablation_mse,ablation_host,ablation_guest_1,ablation_guest_2,ablation_guest_3
"host+('guest_1', 'guest_2', 'guest_3')",1,65,2394.3352,2202.0269,35.908108,2202.0269,83926.69,7541.80419921875,14289.58984375,1465.122314453125
"host+('guest_1', 'guest_2', 'guest_3')",1,66,2124.3472,1989.0914,34.054523,1989.0914,86620.21,7243.09033203125,13803.212890625,1465.2750244140625
"host+('guest_1', 'guest_2', 'guest_3')",1,67,2084.3474,1817.5851,32.41866,1817.5851,85245.35,7296.9375,14537.2314453125,1470.5023193359375
"host+('guest_1', 'guest_2', 'guest_3')",1,68,1810.6549,1675.6658,30.995451,1675.6658,85980.5,7134.7646484375,14076.9267578125,1563.690673828125
"host+('guest_1', 'guest_2', 'guest_3')",1,69,1764.4152,1558.2124,29.787796,1558.2124,85747.9,7579.80029296875,14955.052734375,1452.184326171875
"host+('guest_1', 'guest_2', 'guest_3')",1,70,1587.3479,1456.5178,28.73229,1456.5178,86238.67,7263.998046875,15059.01171875,1423.55810546875
"host+('guest_1', 'guest_2', 'guest_3')",1,71,1559.0961,1378.0791,27.877464,1378.0791,89786.164,7269.458984375,14881.5869140625,1392.979248046875
"host+('guest_1', 'guest_2', 'guest_3')",1,72,1413.335,1316.8937,27.237328,1316.8937,85240.54,6943.140625,14881.919921875,1429.0003662109375
"host+('guest_1', 'guest_2', 'guest_3')",1,73,1333.2917,1269.3308,26.723255,1269.3308,87593.164,7148.50390625,15032.9375,1442.096435546875
"host+('guest_1', 'guest_2', 'guest_3')",1,74,1300.6761,1230.5667,26.3189,1230.5667,85514.1,7023.099609375,15100.8310546875,1475.6708984375
"host+('guest_1', 'guest_2', 'guest_3')",1,75,1335.6183,1198.2095,25.987381,1198.2095,87463.91,7378.88818359375,15406.30078125,1435.125732421875
"host+('guest_1', 'guest_2', 'guest_3')",1,76,1373.404,1168.2688,25.671797,1168.2688,85491.32,7240.9736328125,15733.5830078125,1493.66796875
"host+('guest_1', 'guest_2', 'guest_3')",1,77,1326.4493,1142.052,25.391579,1142.052,87181.05,7308.669921875,15328.9072265625,1419.723388671875
"host+('guest_1', 'guest_2', 'guest_3')",1,78,1192.5221,1115.8164,25.099678,1115.8164,86131.984,7163.9560546875,15769.75390625,1380.6142578125
"host+('guest_1', 'guest_2', 'guest_3')",1,79,1279.5148,1091.2123,24.82212,1091.2123,85998.63,7069.15283203125,15843.1982421875,1336.8377685546875
"host+('guest_1', 'guest_2', 'guest_3')",1,80,1186.0983,1067.7137,24.561062,1067.7137,88456.44,7395.927734375,16535.443359375,1331.3602294921875
"host+('guest_1', 'guest_2', 'guest_3')",1,81,1144.0052,1046.0352,24.328358,1046.0352,86035.3,7280.408203125,16090.552734375,1291.041015625
"host+('guest_1', 'guest_2', 'guest_3')",1,82,1149.3217,1023.25793,24.069988,1023.25793,84654.375,7324.4970703125,16639.900390625,1294.0323486328125
"host+('guest_1', 'guest_2', 'guest_3')",1,83,1150.3523,1001.99274,23.829529,1001.99274,88260.164,6891.80859375,16679.642578125,1275.68798828125
"host+('guest_1', 'guest_2', 'guest_3')",1,84,1112.6405,979.84595,23.56827,979.84595,87580.195,7187.7451171875,16661.70703125,1236.288818359375
"host+('guest_1', 'guest_2', 'guest_3')",1,85,1046.1954,958.9538,23.323606,958.9538,87533.734,7004.77490234375,16984.7890625,1246.685302734375
"host+('guest_1', 'guest_2', 'guest_3')",1,86,1098.5826,939.2795,23.092098,939.2795,86019.16,7299.5380859375,16591.521484375,1205.26708984375
"host+('guest_1', 'guest_2', 'guest_3')",1,87,1083.3079,920.6448,22.875381,920.6448,83860.016,7202.6455078125,16682.587890625,1204.83642578125
"host+('guest_1', 'guest_2', 'guest_3')",1,88,989.98694,901.3616,22.652971,901.3616,83499.67,7001.158203125,17295.9609375,1188.1162109375
"host+('guest_1', 'guest_2', 'guest_3')",1,89,1045.3337,885.0187,22.460888,885.0187,86870.79,6887.4384765625,16710.12109375,1182.9324951171875
"host+('guest_1', 'guest_2', 'guest_3')",1,90,1002.49115,871.6541,22.332985,871.6541,87740.11,7129.158203125,16936.57421875,1162.12646484375
"host+('guest_1', 'guest_2', 'guest_3')",1,91,969.1829,856.4852,22.160925,856.4852,87247.27,7130.2666015625,17027.431640625,1176.4810791015625
"host+('guest_1', 'guest_2', 'guest_3')",1,92,982.53235,840.8237,21.969479,840.8237,86491.555,7050.26220703125,17689.072265625,1148.17578125
"host+('guest_1', 'guest_2', 'guest_3')",1,93,926.76556,825.63007,21.785435,825.63007,84426.03,7322.1953125,17186.615234375,1097.556884765625
"host+('guest_1', 'guest_2', 'guest_3')",1,94,877.04553,809.7481,21.576906,809.7481,87082.86,7070.17578125,17343.30859375,1131.744384765625
"host+('guest_1', 'guest_2', 'guest_3')",1,95,872.726,795.29346,21.408735,795.29346,85791.375,7106.37890625,17257.76953125,1058.6890869140625
"host+('guest_1', 'guest_2', 'guest_3')",1,96,857.9342,781.60016,21.2303,781.60016,85226.2,7194.2529296875,17201.26953125,1052.314208984375
"host+('guest_1', 'guest_2', 'guest_3')",1,97,854.27014,766.9698,21.042059,766.9698,86630.52,7210.0478515625,17762.234375,1064.667236328125
"host+('guest_1', 'guest_2', 'guest_3')",1,98,872.5049,751.7171,20.85135,751.7171,84834.24,6866.16259765625,17759.357421875,1071.330322265625
"host+('guest_1', 'guest_2', 'guest_3')",1,99,839.1717,737.0304,20.672422,737.0304,85188.31,7291.10009765625,17064.048828125,1008.1629638671875
"host+('guest_1', 'guest_2', 'guest_3')",1,100,833.0411,724.5464,20.518923,724.5464,86332.07,7081.2236328125,18389.8359375,981.824951171875
"host+('guest_1', 'guest_2')",1,1,159182.5,145080.58,298.0514,145080.58,54.25,184.265625,25.90625,
"host+('guest_1', 'guest_2')",1,2,160795.48,144740.88,297.64676,144740.88,138.54688,327.34375,134.65625,
"host+('guest_1', 'guest_2')",1,3,167931.27,144381.45,297.2187,144381.45,212.40625,484.34375,251.203125,
"host+('guest_1', 'guest_2')",1,4,160943.28,143990.48,296.75345,143990.48,324.1875,627.53125,397.15625,
"host+('guest_1', 'guest_2')",1,5,160231.62,143541.58,296.21658,143541.58,431.35938,798.234375,507.78125,
"host+('guest_1', 'guest_2')",1,6,159703.39,143020.62,295.5907,143020.62,562.6875,1061.890625,649.34375,
"host+('guest_1', 'guest_2')",1,7,178600.28,142412.8,294.85773,142412.8,703.46875,1306.3125,857.046875,
"host+('guest_1', 'guest_2')",1,8,156026.28,141694.64,293.992,141694.64,875.5,1530.59375,1061.203125,
"host+('guest_1', 'guest_2')",1,9,156692.12,140866.88,292.98715,140866.88,1111.375,1974.328125,1277.71875,
"host+('guest_1', 'guest_2')",1,10,157932.89,139908.47,291.82965,139908.47,1343.0312,2408.328125,1643.34375,
"host+('guest_1', 'guest_2')",1,11,154008.36,138792.3,290.51215,138792.3,1559.75,2935.25,1991.875,
"host+('guest_1', 'guest_2')",1,12,157813.84,137498.55,288.98544,137498.55,1892.9844,3384.796875,2374.28125,
"host+('guest_1', 'guest_2')",1,13,152303.52,136000.86,287.20117,136000.86,2302.6875,4025.140625,2773.03125,
"host+('guest_1', 'guest_2')",1,14,146263.27,134289.89,285.14502,134289.89,2711.5625,4816.546875,3285.015625,
"host+('guest_1', 'guest_2')",1,15,152452.58,132361.25,282.82236,132361.25,3247.625,5340.34375,3832.59375,
"host+('guest_1', 'guest_2')",1,16,142603.0,130189.125,280.20752,130189.125,3729.1875,6268.25,4605.53125,
"host+('guest_1', 'guest_2')",1,17,144703.84,127763.93,277.25552,127763.93,4285.3203,7224.4453125,5006.2421875,
"host+('guest_1', 'guest_2')",1,18,144415.66,125050.484,273.94348,125050.484,4992.9062,8351.859375,6018.9609375,
"host+('guest_1', 'guest_2')",1,19,140970.83,122024.35,270.2332,122024.35,5582.0703,9599.2890625,6622.078125,
"host+('guest_1', 'guest_2')",1,20,133346.28,118750.664,266.17096,118750.664,6641.5156,10845.8515625,7791.671875,
"host+('guest_1', 'guest_2')",1,21,192369.47,115207.73,261.8032,115207.73,7655.1875,12414.46875,8743.546875,
"host+('guest_1', 'guest_2')",1,22,140394.95,111311.305,256.9867,111311.305,8731.5625,13408.8203125,9506.78125,
